pickup_location,pickup_city,fleet_size,total_rentals,total_rented_days,rented_days_per_vehicle
Mumbai Andheri Branch,Mumbai,23,692,2787,121.17
Pune Station Branch,Pune,18,570,2151,119.5
Hyderabad Hitech Branch,Hyderabad,11,346,1312,119.27
Lucknow Branch,Lucknow,22,680,2560,116.36
Ahmedabad Branch,Ahmedabad,18,528,2056,114.22
Bengaluru Whitefield Branch,Bengaluru,17,515,1891,111.24
Chennai Central Branch,Chennai,12,349,1332,111.0
Udaipur City Branch,Udaipur,24,676,2638,109.92
Delhi Airport Branch,New Delhi,23,675,2480,107.83
Jaipur Central Hub,Jaipur,12,327,1221,101.75
